id,name,description,price,priceRange,lat,lng,notes,category,googleMapsUrl,rating
1,Marina Bay,Iconic waterfront promenade showcasing Singapore's modern skyline,Free,0,1.2847,103.8610,Best visited at sunset or night. Easy walking loop connects MBS and Gardens by the Bay.,Landmark,https://www.google.com/maps/search/Marina+Bay+Singapore,4.6
2,Merlion Park,Home to Singapore's iconic half-lion half-fish statue,Free,0,1.2868,103.8545,Visit early morning to avoid crowds and get better photos.,Landmark,https://www.google.com/maps/search/Merlion+Park+Singapore,4.4
3,Marina Bay Sands Mall,Luxury shopping mall featuring indoor canals and designer boutiques,Free,0,1.2834,103.8607,Connects seamlessly to ArtScience Museum and Spectra show area.,Landmark,https://www.google.com/maps/search/The+Shoppes+Marina+Bay+Sands+Singapore,4.5
4,Singapore Flyer,Asia's largest observation wheel offering panoramic city views,S$40,2,1.2893,103.8631,Full rotation takes ~30 minutes. Go near sunset for both day and night lighting.,Attraction,https://www.google.com/maps/search/Singapore+Flyer,4.4
5,ArtScience Museum,Museum featuring innovative digital art and immersive exhibitions,S$62,3,1.2863,103.8593,Book tickets ahead on weekends. Combine visit with Marina Bay Sands area.,Attraction,https://www.google.com/maps/search/ArtScience+Museum+Singapore,4.5
6,Gardens by the Bay,Futuristic park with climate-controlled conservatories and Supertree Grove,S$46,2,1.2816,103.8636,Book timed entry online (Klook works fine). Allow 2-3 hours to explore fully.,Attraction,https://www.google.com/maps/search/Gardens+by+the+Bay+Singapore,4.7
7,Cloud Forest,Indoor biodome featuring world's tallest indoor waterfall and mountain landscape,S$26,2,1.2841,103.8655,Perfect midday escape from heat. Bring a light jacket as it's air-conditioned.,Attraction,https://www.google.com/maps/search/Cloud+Forest+Gardens+by+the+Bay,4.7
8,Flower Dome,World's largest glass greenhouse with themed floral displays,S$12,1,1.2838,103.8658,Purchase combo ticket with Cloud Forest for better value.,Attraction,https://www.google.com/maps/search/Flower+Dome+Gardens+by+the+Bay,4.6
9,CHIJMES,Gothic-style former convent converted into dining and entertainment complex,Free,0,1.2955,103.8523,Great for evening drinks. Photogenic courtyard architecture.,Culture,https://www.google.com/maps/search/CHIJMES+Singapore,4.5
10,Haji Lane,Narrow street lined with colorful murals and independent boutiques,Free,0,1.3016,103.8592,Best visited late afternoon. Combine with nearby Arab Street.,Culture,https://www.google.com/maps/search/Haji+Lane+Singapore,4.4
11,Chinatown,Historic district featuring traditional shophouses and cultural sites,Free,0,1.2836,103.8443,Evening is most lively. Area has many excellent dessert spots.,Culture,https://www.google.com/maps/search/Chinatown+Singapore,4.5
12,Spectra Light Show,Free outdoor water and light show at Marina Bay Sands,Free,0,1.2846,103.8572,Shows at 8pm/9pm (Sun-Thu) plus 10pm (Fri-Sat). Arrive 15 minutes early for good spots.,Attraction,https://www.google.com/maps/search/Spectra+Light+Show+Marina+Bay+Sands,4.6
13,Garden Rhapsody,Free nightly light and music show at Supertree Grove,Free,0,1.2812,103.8640,Daily shows at 7:45pm & 8:45pm. Sit on grass for best experience. Show runs ~15 minutes.,Attraction,https://www.google.com/maps/search/Supertree+Grove+Gardens+by+the+Bay,4.7
14,Fort Siloso,Historic WWII fortress with interactive exhibits and coastal views,Free,0,1.2586,103.8088,Can be hot at midday - bring water. Skywalk offers excellent views of South China Sea.,Adventure,https://www.google.com/maps/search/Fort+Siloso+Sentosa+Singapore,4.3
15,Skyline Luge,Gravity-powered cart rides down scenic tracks with chairlift return,S$33+,2,1.2540,103.8180,Go near dusk for Night Luge experience. Multi-ride packages offer better value.,Adventure,https://www.google.com/maps/search/Skyline+Luge+Sentosa+Singapore,4.5
16,MegaZip,450m zipline ride soaring over Siloso Beach jungle canopy,S$59,3,1.2548,103.8102,Wear closed-toe shoes (required). Arrive early to minimize queue times.,Adventure,https://www.google.com/maps/search/MegaZip+Sentosa+Singapore,4.4
17,Chinatown Complex,Singapore's largest hawker centre with over 260 food stalls,S$4-10,1,1.2825,103.8434,Multiple MICHELIN-listed stalls. Visit for lunch or dinner.,Food,https://www.google.com/maps/search/Chinatown+Complex+Food+Centre+Singapore,4.3
18,Yat Ka Yan,Specialty dessert shop famous for durian chendol and traditional sweets,S$5-10,1,1.2988,103.8538,Located in Bugis Fortune Centre. Best visited mid-afternoon.,Food,https://www.google.com/maps/search/Yat+Ka+Yan+Fortune+Centre+Singapore,4.5
19,Mei Heong Yuen,Traditional Chinatown dessert shop known for almond paste and peanut soup,S$4-8,1,1.2833,103.8445,Located on Temple Street. Popular after-dinner spot.,Food,https://www.google.com/maps/search/Mei+Heong+Yuen+Dessert+Chinatown+Singapore,4.4
20,ICE & TIME,Japanese-style kakigori shaved ice with creative toppings,S$12-25,1,1.2764,103.8456,Located in Tanjong Pagar. Excellent post-dinner dessert option.,Food,https://www.google.com/maps/search/ICE+and+TIME+Tanjong+Pagar+Singapore,4.6
21,Old Amoy Chendol,Hawker stall serving artisanal coconut milk chendol with gula melaka,S$3-6,1,1.2823,103.8432,Located in Chinatown Complex. Expect lines during peak lunch hours.,Food,https://www.google.com/maps/search/Old+Amoy+Chendol+Chinatown+Complex+Singapore,4.5
22,75 Ah Balling,Peanut soup with handmade tang yuan (glutinous rice balls),S$3-6,1,1.3027,103.8633,Multiple outlets across Singapore. Flagship location at Golden Mile Complex.,Food,https://www.google.com/maps/search/75+Ah+Balling+Peanut+Soup+Singapore,4.3
23,Un Yang Kor Dai,Authentic northeastern Thai (Isaan) restaurant known for bold flavors,S$25-45,2,1.2780,103.8440,Book ahead on weekends. Spice levels can be very intense - adjust to taste.,Food,https://www.google.com/maps/search/Un+Yang+Kor+Dai+Singapore,4.6
24,Ah Heng Curry Chicken,Hawker stall specializing in curry chicken served over bee hoon noodles,S$5-8,1,1.3063,103.8475,MICHELIN Guide-listed hawker stall. Great value for money.,Food,https://www.google.com/maps/search/Ah+Heng+Curry+Chicken+Bee+Hoon+Mee+Singapore,4.4
25,Mini Toast House,Old-school bakery selling traditional kaya buns and sweet toast,S$1-6,1,1.2826,103.8433,Located in Chinatown Complex. Arrive early for best selection of fresh buns.,Food,https://www.google.com/maps/search/Mini+Toast+House+Chinatown+Complex+Singapore,4.5
26,Shanghai Fried XLB,Hawker stall famous for xiao long bao with crispy pan-fried bottoms,S$5-10,1,1.2824,103.8435,Located in Chinatown Complex. Look for stall signage inside the hawker centre.,Food,https://www.google.com/maps/search/Shanghai+Fried+Xiao+Long+Bao+Chinatown+Complex+Singapore,4.4
27,Tai Weng Chicken Rice,Hainanese chicken rice with tender poached chicken and fragrant rice,S$4-7,1,1.2827,103.8431,Located in Chinatown Complex. Reliable choice for lunch.,Food,https://www.google.com/maps/search/Tai+Wah+Chicken+Rice+Chinatown+Complex+Singapore,4.3
28,Delhi Lahori,Indian Muslim stall serving tandoor naan and grilled kebabs,S$2-12,1,1.3063,103.8498,Located in Tekka Centre. Open long hours. Excellent value for authentic flavors.,Food,https://www.google.com/maps/search/Delhi+Lahori+Tekka+Centre+Singapore,4.5
29,Keng Eng Kee Seafood,MICHELIN-listed zi char restaurant famous for salted egg crab,S$25-60,2,1.2868,103.8062,MICHELIN Guide recognition. Best visited with a group to share dishes family-style.,Food,https://www.google.com/maps/search/Keng+Eng+Kee+Seafood+Singapore,4.4
